,O1,,O2,,O3,,O4,,O5,,O6,
A1,1,0,2,0,4,0,2,0,2,0,2,1
A2,2,0,4,1,4,0,4,0,2,0,2,1
A3,4,0,5,0,4,0,4,1,4,0,4,0
A4,4,0,4,0,5,0,5,0,5,0,4,0
A5,2,0,4,0,4,0,3,0,4,1,4,0
A6,2,0,2,0,2,0,2,2,2,0,2,0
