,O1,,O2,,O3,
F1,2,2,2,1,2,0
F2,1,1,1,1,1,0
F3,4,0,2,0,2,0
F4,4,1,2,0,4,0
F5,4,1,1,1,1,0
F6,5,0,4,0,4,0
F7,4,0,2,0,2,0
F8,3,0,3,0,2,0
F9,3,0,3,0,2,0
F10,4,1,4,1,2,1
F11,2,0,1,0,1,0
F12,2,0,2,0,2,0
