,O1,,O2,,O3,,O4,
O1,5,0,4,0,5,0,5,0
O2,4,0,2,0,4,0,5,0
O3,4,0,4,0,4,0,5,0
O4,2,0,2,1,2,0,2,0
O5,4,0,4,0,4,0,4,0
O6,4,0,4,0,4,0,5,0
O7,5,0,5,0,4,0,5,0
O8,4,1,2,1,4,1,4,0
O9,4,0,2,0,4,0,4,0
